year,month,month_code,district,total_snap_persons,total_snap_households,total_snap_benefits,temporary_assistance_snap_persons,non_temporary_assistance_snap_persons
2025,January,1,New York City,1801636,1081001,423861133,811224,990412
2025,January,1,Yates,2101,1281,360750,430,1671
2025,January,1,Wyoming,2570,1576,423286,557,2013
2025,January,1,Westchester,74181,45471,15587852,17004,57177
2025,January,1,Wayne,8606,5112,1551906,1680,6926
2025,January,1,Washington,6944,4091,1222424,1348,5596
2025,January,1,Warren,6947,4266,1272495,1161,5786
2025,January,1,Ulster,17521,10988,3556417,3538,13983
2025,January,1,Tompkins,7737,4799,1508409,1708,6029
2025,January,1,Tioga,5350,2897,881888,815,4535
2025,January,1,Sullivan,13110,6549,2679440,2113,10997
2025,January,1,Suffolk,130456,81477,28667217,20906,109550
2025,January,1,Steuben,12283,6818,2142272,2526,9757
2025,January,1,Seneca,3593,2086,626937,740,2853
2025,January,1,Schuyler,1937,1167,333907,305,1632
2025,January,1,Schoharie,3805,2242,680418,526,3279
2025,January,1,Schenectady,21073,11601,4254091,5191,15882
2025,January,1,Saratoga,14575,8987,2669983,1999,12576
2025,January,1,St. Lawrence,13860,7972,2536625,3095,10765
2025,January,1,Rockland,53004,18725,10286808,3869,49135
2025,January,1,Albany,32544,18531,6508755,7670,24874
2025,January,1,Rensselaer,15892,8568,3034139,3586,12306
2025,January,1,Putnam,2885,1960,597084,559,2326
2025,January,1,Otsego,6634,3878,1194318,994,5640
2025,January,1,Oswego,17156,9384,3166664,3388,13768
2025,January,1,Orleans,5292,3117,932774,1318,3974
2025,January,1,Orange,45530,19527,8594551,6345,39185
2025,January,1,Ontario,9405,5701,1740508,2156,7249
2025,January,1,Onondaga,66884,37186,13166244,18099,48785
2025,January,1,Oneida,34917,18714,7200947,8276,26641
2025,January,1,Niagara,27303,16298,5252833,5349,21954
2025,January,1,Nassau,44106,31619,8661574,14323,29783
2025,January,1,Montgomery,8430,4588,1557023,1692,6738
2025,January,1,Monroe,108714,63237,22358035,28448,80266
2025,January,1,Madison,6295,3668,1141722,987,5308
2025,January,1,Livingston,5537,3302,1009467,1200,4337
2025,January,1,Lewis,2925,1659,468666,429,2496
2025,January,1,Jefferson,14507,8204,2687271,2547,11960
2025,January,1,Herkimer,9085,5262,1659171,1304,7781
2025,January,1,Hamilton,373,212,64089,49,324
2025,January,1,Greene,3876,2524,782515,878,2998
2025,January,1,Genesee,4864,2990,854770,874,3990
2025,January,1,Fulton,8095,4953,1535489,1783,6312
2025,January,1,Franklin,6681,4059,1255498,1720,4961
2025,January,1,Essex,3030,1895,526919,558,2472
2025,January,1,Erie,142028,78828,28295909,32480,109548
2025,January,1,Dutchess,17152,11073,3413741,3641,13511
2025,January,1,Delaware,4684,2754,822915,775,3909
2025,January,1,Cortland,5649,3338,1056098,1112,4537
2025,January,1,Columbia,5160,3319,978689,1210,3950
2025,January,1,Clinton,11833,7387,2232539,2859,8974
2025,January,1,Chenango,6838,4008,1180196,1188,5650
2025,January,1,Chemung,14461,8207,2818947,2844,11617
2025,January,1,Chautauqua,23653,13346,4485327,6010,17643
2025,January,1,Cayuga,8977,5145,1649132,2044,6933
2025,January,1,Cattaraugus,10630,6025,1874855,2444,8186
2025,January,1,Broome,26276,15313,5071458,6999,19277
2025,January,1,Allegany,5319,3104,918135,1083,4236
2025,October,10,New York City,1757799,1059045,418406627,817305,940494
2025,October,10,Yates,1921,1219,340066,371,1550
2025,October,10,Wyoming,2484,1523,425951,511,1973
2025,October,10,Westchester,71588,44528,15334668,16861,54727
2025,October,10,Wayne,7983,4935,1485036,1574,6409
2025,October,10,Washington,6541,3910,1199366,1124,5417
2025,October,10,Warren,6490,4095,1238355,1166,5324
2025,October,10,Ulster,16451,10529,3453982,3564,12887
2025,October,10,Tompkins,7433,4707,1518711,1654,5779
2025,October,10,Tioga,4968,2757,836859,784,4184
2025,October,10,Sullivan,12591,6374,2609074,2178,10413
2025,October,10,Suffolk,121119,77038,26988950,20616,100503
2025,October,10,Steuben,11728,6666,2114877,2682,9046
2025,October,10,Seneca,3402,1992,625162,780,2622
2025,October,10,Schuyler,1699,1074,306516,285,1414
2025,October,10,Schoharie,3635,2172,675940,544,3091
2025,October,10,Schenectady,21858,11900,4495823,4953,16905
2025,October,10,Saratoga,13970,8794,2685986,2070,11900
2025,October,10,St. Lawrence,13064,7714,2509210,3031,10033
2025,October,10,Rockland,53300,18582,10497316,3890,49410
2025,October,10,Rensselaer,15743,8568,3128848,3406,12337
2025,October,10,Putnam,2845,1981,590355,549,2296
2025,October,10,Otsego,6429,3819,1217035,933,5496
2025,October,10,Oswego,16536,9186,3144538,3267,13269
2025,October,10,Orleans,4934,2979,904961,1215,3719
2025,October,10,Orange,44712,19155,8670850,6404,38308
2025,October,10,Ontario,8988,5638,1759808,2123,6865
2025,October,10,Onondaga,64067,35983,12992023,17373,46694
2025,October,10,Oneida,35317,19381,7045912,8401,26916
2025,October,10,Niagara,26444,15936,5233180,5470,20974
2025,October,10,Nassau,42564,30929,8604701,13989,28575
2025,October,10,Montgomery,8022,4389,1535740,1659,6363
2025,October,10,Monroe,104095,61219,21960863,27295,76800
2025,October,10,Madison,6155,3656,1152830,972,5183
2025,October,10,Livingston,4971,3091,934278,1143,3828
2025,October,10,Lewis,2631,1563,436073,409,2222
2025,October,10,Jefferson,13638,7845,2639217,2496,11142
2025,October,10,Herkimer,8761,5140,1634256,1288,7473
2025,October,10,Hamilton,323,194,53224,50,273
2025,October,10,Greene,3834,2493,780465,886,2948
2025,October,10,Genesee,4590,2867,830544,846,3744
2025,October,10,Fulton,7848,4844,1535889,1784,6064
2025,October,10,Franklin,6437,3929,1241623,1661,4776
2025,October,10,Essex,2923,1855,528194,587,2336
2025,October,10,Erie,139065,77532,28379042,33642,105423
2025,October,10,Dutchess,16927,11123,3432669,3665,13262
2025,October,10,Delaware,4525,2720,828590,744,3781
2025,October,10,Cortland,5407,3261,1057986,1068,4339
2025,October,10,Columbia,4919,3222,961543,1179,3740
2025,October,10,Clinton,11485,7265,2232649,2867,8618
2025,October,10,Chenango,6456,3816,1169610,1150,5306
2025,October,10,Chemung,13873,7957,2793448,2658,11215
2025,October,10,Chautauqua,23167,13171,4529377,6287,16880
2025,October,10,Cayuga,8303,4859,1546839,1894,6409
2025,October,10,Cattaraugus,10173,5919,1868579,2438,7735
2025,October,10,Broome,26398,15444,5270389,7045,19353
2025,October,10,Allegany,5132,3055,934310,1064,4068
2025,October,10,Albany,31064,17961,6363973,7582,23482
2025,November,11,Albany,30175,17494,6180587,7370,22805
2025,November,11,Allegany,4998,2975,900121,1062,3936
2025,November,11,Broome,25786,15102,5064955,6874,18912
2025,November,11,Cattaraugus,10007,5800,1814684,2413,7594
2025,November,11,Cayuga,8042,4774,1491965,1873,6169
2025,November,11,Chautauqua,22562,12845,4377984,6198,16364
2025,November,11,Chemung,13393,7727,2667775,2552,10841
2025,November,11,Chenango,6434,3798,1161630,1153,5281
2025,November,11,Clinton,11344,7177,2185616,2769,8575
2025,November,11,Columbia,4846,3173,933865,1152,3694
2025,November,11,Cortland,5302,3204,1023854,1074,4228
2025,November,11,Delaware,4436,2679,797807,736,3700
2025,November,11,Dutchess,16634,10936,3334454,3651,12983
2025,November,11,Erie,136061,75870,27493193,33093,102968
2025,November,11,Essex,2829,1802,511295,572,2257
2025,November,11,Franklin,6323,3878,1204640,1626,4697
2025,November,11,Fulton,7639,4734,1483981,1697,5942
2025,November,11,Genesee,4482,2815,808692,840,3642
2025,November,11,Greene,3712,2427,753218,879,2833
2025,November,11,Hamilton,305,189,50680,48,257
2025,November,11,Herkimer,8540,5012,1576077,1238,7302
2025,November,11,Jefferson,13349,7684,2565148,2445,10904
2025,November,11,Lewis,2562,1525,424048,401,2161
2025,November,11,Livingston,4833,3009,899596,1125,3708
2025,November,11,Madison,5970,3565,1119320,968,5002
2025,November,11,Monroe,101544,59914,21234793,26703,74841
2025,November,11,Montgomery,7746,4270,1472306,1654,6092
2025,November,11,Nassau,41813,30508,8412243,13801,28012
2025,November,11,Niagara,25762,15562,5024865,5394,20368
2025,November,11,Oneida,34473,18904,6845475,8382,26091
2025,November,11,Onondaga,62360,35112,12554867,17052,45308
2025,November,11,Ontario,8819,5529,1695335,2055,6764
2025,November,11,Orange,43929,18776,8403272,6231,37698
2025,November,11,Orleans,4818,2933,885904,1219,3599
